timeindex,ashp_NDE,gshp_NDE,chp_NDE,tes_NDE,dhw_NDE,space_NDE,excess_heat_NDE,,,,
2050-01-08 07:00:00+00:00,9385.8648,17559.829,0,-1350,4216.84080090314,21378.8533982833,0,,,,
2050-01-08 08:00:00+00:00,8397.6561,17559.829,0,-1350,3292.45765663911,21315.0278065257,0,,,,
2050-01-08 09:00:00+00:00,7042.6315,17559.829,0,-1350,3131.80574102163,20120.6551562183,0,,,,
2050-01-08 10:00:00+00:00,5632.4849,17559.829,0,-1350,3008.86894780644,18833.445281536,0,,,,
2050-01-08 11:00:00+00:00,5025.2351,17559.829,0,-1350,2840.60147862696,18394.4630154977,0,,,,
2050-01-08 12:00:00+00:00,4320.2525,17559.829,0,-1350,2769.70430141878,17760.377520109,0,,,,
2050-01-08 13:00:00+00:00,3733.1295,17559.829,0,-1350,2305.88082495206,17637.0780814862,0,,,,
2050-01-08 14:00:00+00:00,3623.6106,17559.829,0,-1350,2419.93280567825,17413.5071876302,0,,,,
2050-01-08 15:00:00+00:00,4192.6013,17559.829,0,-1350,2175.87244628645,18226.558191726,0,,,,
2050-01-08 16:00:00+00:00,5297.7632,17559.829,0,-1350,2304.97421143277,19202.6183065892,0,,,,
2050-01-08 17:00:00+00:00,12087.287,11898.677,0,-1350,2495.72569589056,20140.2380082349,0,,,,
2050-01-08 18:00:00+00:00,6848.6162,17559.829,0,-1350,2499.3521499677,20559.0934541449,0,,,,
2050-01-08 19:00:00+00:00,6717.7012,17559.829,0,-1350,2618.48116640188,20309.0494455259,0,,,,
2050-01-08 20:00:00+00:00,6102.6546,17559.829,0,-1350,2724.37362545449,19588.1103749896,0,,,,
2050-01-08 21:00:00+00:00,4032.1307,17559.829,0,-1350,2502.07199052556,17739.8880545732,0,,,,
2050-01-08 22:00:00+00:00,0,17235.863,0,-1350,1799.08386767118,14086.7795399622,0,,,,
2050-01-08 23:00:00+00:00,0,13899.888,0,-1350,1057.83665430293,11492.0516477656,0,,,,
2050-01-09 00:00:00+00:00,12087.287,353.67875,0,-1350,808.155291091558,10282.8105357419,0,,,,
2050-01-09 01:00:00+00:00,0,13350.843,0,-1350,940.33954220346,11060.5036125855,0,,,,
2050-01-09 02:00:00+00:00,0,13029.358,0,-1350,950.312290915606,10729.0457099345,0,,,,
2050-01-09 03:00:00+00:00,12087.287,2278.6006,0,-1350,1235.8955494907,11779.9921014909,0,,,,
2050-01-09 04:00:00+00:00,200.05666,17559.829,0,-1350,1934.35060474865,14475.535417032,0,,,,
2050-01-09 05:00:00+00:00,6930.2115,17559.829,0,-1350,3497.17098929389,19642.8698315546,0,,,,
2050-01-09 06:00:00+00:00,9525.846,17559.829,0,-1350,4234.24778047343,21501.4275460909,0,,,,
2050-01-09 07:00:00+00:00,8054.5935,17559.829,0,-1350,4107.14056506953,20157.2823423974,0,,,,
2050-01-09 08:00:00+00:00,6863.4847,17559.829,0,-1350,3162.63060067736,19910.6834651516,0,,,,
2050-01-09 09:00:00+00:00,12087.287,11142.561,0,-1350,3019.74831003788,18860.099719003,0,,,,
2050-01-09 10:00:00+00:00,4360.3248,17559.829,0,-1350,2830.6287299148,17739.5254091654,0,,,,
2050-01-09 11:00:00+00:00,12087.287,9177.9295,0,-1350,2772.2428192728,17142.9737134753,0,,,,
2050-01-09 12:00:00+00:00,12087.287,8621.6314,0,-1350,2715.48881296549,16643.4296643487,0,,,,
