timeindex,ashp_NDE,gshp_NDE,chp_NDE,tes_NDE,dhw_NDE,space_NDE,excess_heat_NDE,,,,,
2050-01-10 17:00:00+00:00,10229.95,18646.874,0,-900,2545.40811674742,25431.4158294919,0,,,,,
2050-01-10 18:00:00+00:00,10400.574,18646.874,0,-900,2538.33653129701,25609.1120792719,0,,,,,
2050-01-10 19:00:00+00:00,10109.733,18646.874,0,-900,2708.23590481121,25148.3710887707,0,,,,,
2050-01-10 20:00:00+00:00,8991.8782,18646.874,0,-900,2858.91507171653,23879.8374525857,0,,,,,
2050-01-10 21:00:00+00:00,6573.5773,18646.874,0,-900,2551.75441138242,21768.6972115764,0,,,,,
2050-01-10 22:00:00+00:00,1416.0343,18646.874,0,-900,1873.42617625263,17289.4824581919,0,,,,,
2050-01-10 23:00:00+00:00,14334.729,2191.2994,0,-900,1119.12372820666,14506.9042447993,0,,,,,
2050-01-11 00:00:00+00:00,14334.729,2400.3645,0,-900,765.725778388972,15069.3672721644,0,,,,,
2050-01-11 01:00:00+00:00,0,17392.75,0,-900,880.140404522868,15612.6100929205,0,,,,,
2050-01-11 02:00:00+00:00,0,17781.506,0,-900,851.128771905716,16030.3776026075,0,,,,,
2050-01-11 03:00:00+00:00,445.23256,18646.874,0,-900,964.455461816467,17227.6514161766,0,,,,,
2050-01-11 04:00:00+00:00,3311.4005,18646.874,0,-900,1655.83893162399,19402.4359262399,0,,,,,
