timeindex,acaes_NDE,li-ion_NDE,li-ion_SDE,phs_NDE,phs_SDE,tes_NDE,tes_SDE
2050-01-10 13:00:00+00:00,0.0,4163.0869,36371.346,797.64,7328.8858,15456.44,70498.599
2050-01-10 14:00:00+00:00,0.0,1327.1842,22992.018,817.13333,7800.5672,14456.44,65943.044
2050-01-10 15:00:00+00:00,0.0,0.0,9612.6908,817.13333,1.8189894e-12,13456.44,61387.488
2050-01-10 16:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,14266.44,56831.933
2050-01-10 17:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,15076.44,52276.377
2050-01-10 18:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,15886.44,47720.822
2050-01-10 19:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,16696.44,43165.266
2050-01-10 20:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,17506.44,38609.711
2050-01-10 21:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,18316.44,34054.155
2050-01-10 22:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,19126.44,29498.599
2050-01-10 23:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,19936.44,24943.044
2050-01-11 00:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,20746.44,20387.488
2050-01-11 01:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,21556.44,20387.488
2050-01-11 02:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,22366.44,15831.933
2050-01-11 03:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,23176.44,15831.933
2050-01-11 04:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,23986.44,15831.933
2050-01-11 05:00:00+00:00,0.0,0.0,0.0,817.13333,1.8189894e-12,24796.44,11276.377
2050-01-11 06:00:00+00:00,0.0,864.30748,0.0,817.13333,0.0,23796.44,9976.6667
2050-01-11 07:00:00+00:00,0.0,864.30748,0.0,818.21,26.052167,23605.346,9976.6667
2050-01-11 08:00:00+00:00,0.0,3566.279,0.0,842.57667,0.0,24255.089,9976.6667
2050-01-11 09:00:00+00:00,0.0,6268.2504,9162.0738,895.10667,1271.0715,25065.089,5421.1111
2050-01-11 10:00:00+00:00,0.0,8970.2219,21471.055,963.44667,2924.6985,25875.089,865.55556
2050-01-11 11:00:00+00:00,247.77611,11672.193,33780.036,1029.7467,4528.9635,26685.089,4555.5556
2050-01-11 12:00:00+00:00,332.22389,14374.165,40240.149,1079.5567,5734.219,27495.089,4555.5556
2050-01-11 13:00:00+00:00,580.0,17076.136,30376.096,1105.0,6349.8728,28305.089,4555.5556
2050-01-11 14:00:00+00:00,580.0,14684.628,16996.769,1111.29,0.0,27305.089,4555.5556
2050-01-11 15:00:00+00:00,339.41933,11747.702,3617.4416,1111.29,0.0,26305.089,0.0
